2026-04-18 01:50:14 | INFO | 🔴 EXIT       | IRFC            | ₹    104.84 | Below 40W EMA
2026-04-18 01:50:16 | INFO | 🟢 HOLD_ADD   | ATHERENERG      | ₹    850.95 | Above all weekly EMAs
2026-04-18 01:50:18 | INFO | 🟢 HOLD_ADD   | DATAPATTNS      | ₹   3494.20 | Above all weekly EMAs
2026-04-18 01:50:20 | INFO | 🟢 HOLD_ADD   | CDSL            | ₹   1393.20 | Above all weekly EMAs
2026-04-18 01:50:22 | INFO | 🔴 EXIT       | BPCL            | ₹    312.10 | Below 40W EMA
2026-04-18 01:50:25 | INFO | 🟢 HOLD_ADD   | TRITURBINE      | ₹    515.45 | Above all weekly EMAs
2026-04-18 01:50:27 | WARNING | CPPLUS: Insufficient data for analysis
2026-04-18 01:50:29 | INFO | ✅ BULLISH    | CGPOWER         | ₹    774.80 | Resistance breakout with EMAs converging
2026-04-18 01:50:31 | INFO | 🔴 EXIT       | ASIANPAINT      | ₹   2464.00 | Below 40W EMA
2026-04-18 01:50:33 | INFO | 🔴 EXIT       | HYUNDAI         | ₹   1902.80 | Below 40W EMA
2026-04-18 01:50:35 | INFO | ✅ BULLISH    | TATAPOWER       | ₹    427.60 | Resistance breakout with EMAs converging
2026-04-18 01:50:37 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1235.70 | EMAs converging, no breakout yet
2026-04-18 01:50:40 | INFO | 🟡 WAIT       | AMBER           | ₹   7958.50 | EMAs converging, no breakout yet
2026-04-18 01:50:42 | INFO | 🟢 HOLD_ADD   | POWERINDIA      | ₹  28925.00 | Above all weekly EMAs
2026-04-18 01:50:44 | INFO | 🟡 WAIT       | 360ONE          | ₹   1113.30 | EMAs converging, no breakout yet
2026-04-18 01:50:46 | INFO | 🟡 WAIT       | HEROMOTOCO      | ₹   5230.50 | EMAs converging, no breakout yet
2026-04-18 01:50:48 | INFO | 🔴 EXIT       | CIPLA           | ₹   1240.80 | Below 40W EMA
2026-04-18 01:50:50 | INFO | 🟡 WAIT       | TECHM           | ₹   1511.40 | EMAs converging, no breakout yet
2026-04-18 01:50:53 | INFO | 🔴 EXIT       | REDINGTON       | ₹    234.67 | Below 40W EMA
2026-04-18 01:50:55 | INFO | 🟢 HOLD_ADD   | CUMMINSIND      | ₹   5140.90 | Above all weekly EMAs
2026-04-18 01:50:57 | INFO | 🔴 EXIT       | FIRSTCRY        | ₹    251.86 | Below 40W EMA
2026-04-18 01:50:59 | INFO | 🟢 HOLD_ADD   | FEDERALBNK      | ₹    293.75 | Above all weekly EMAs
2026-04-18 01:51:01 | INFO | 🟢 HOLD_ADD   | GVT&D           | ₹   4138.20 | Above all weekly EMAs
2026-04-18 01:51:03 | INFO | 🟡 WAIT       | APOLLOHOSP      | ₹   7699.00 | EMAs converging, no breakout yet
2026-04-18 01:51:05 | WARNING | TMPV: Insufficient data for analysis
2026-04-18 01:51:08 | INFO | 🔴 EXIT       | YESBANK         | ₹     20.19 | Below 40W EMA
2026-04-18 01:51:10 | INFO | 🟢 HOLD_ADD   | ASTRAL          | ₹   1605.00 | Above all weekly EMAs
2026-04-18 01:51:12 | INFO | 🟡 WAIT       | BAJAJ-AUTO      | ₹   9773.50 | EMAs converging, no breakout yet
2026-04-18 01:51:14 | INFO | 🟡 WAIT       | NESTLEIND       | ₹   1285.60 | EMAs converging, no breakout yet
2026-04-18 01:51:16 | INFO | 🟢 HOLD_ADD   | LLOYDSME        | ₹   1623.30 | Above all weekly EMAs
2026-04-18 01:51:18 | INFO | 🟢 HOLD_ADD   | PAGEIND         | ₹  37975.00 | Above all weekly EMAs
2026-04-18 01:51:21 | INFO | 🔴 EXIT       | DLF             | ₹    601.75 | Below 40W EMA
2026-04-18 01:51:23 | INFO | 🔴 EXIT       | PIDILITIND      | ₹   1393.40 | Below 40W EMA
2026-04-18 01:51:25 | INFO | 🟢 HOLD_ADD   | HEG             | ₹    633.00 | Above all weekly EMAs
2026-04-18 01:51:27 | INFO | 🟢 HOLD_ADD   | APARINDS        | ₹  11482.00 | Above all weekly EMAs
2026-04-18 01:51:29 | INFO | 🟢 HOLD_ADD   | KEI             | ₹   4839.30 | Above all weekly EMAs
2026-04-18 01:51:31 | INFO | 🟢 HOLD_ADD   | NAM-INDIA       | ₹   1015.05 | Above all weekly EMAs
2026-04-18 01:51:33 | INFO | 🔴 EXIT       | HINDPETRO       | ₹    370.85 | Below 40W EMA
2026-04-18 01:51:36 | INFO | 🟢 HOLD_ADD   | LUPIN           | ₹   2326.10 | Above all weekly EMAs
2026-04-18 01:51:38 | INFO | 🟢 HOLD_ADD   | JSWSTEEL        | ₹   1240.30 | Above all weekly EMAs
2026-04-18 01:51:40 | INFO | 🟢 HOLD_ADD   | DELHIVERY       | ₹    463.00 | Above all weekly EMAs
2026-04-18 01:51:42 | INFO | 🔴 EXIT       | IREDA           | ₹    133.01 | Below 40W EMA
2026-04-18 01:51:44 | INFO | 🟢 HOLD_ADD   | MOTHERSON       | ₹    125.03 | Above all weekly EMAs
2026-04-18 01:51:46 | INFO | 🟢 HOLD_ADD   | AUROPHARMA      | ₹   1386.00 | Above all weekly EMAs
2026-04-18 01:51:48 | INFO | 🟢 HOLD_ADD   | NLCINDIA        | ₹    300.65 | Above all weekly EMAs
