2026-04-11 01:32:34 | INFO | 🔴 EXIT       | GODREJPROP      | ₹   1716.50 | Below 40W EMA
2026-04-11 01:32:36 | INFO | 🟡 WAIT       | POLYCAB         | ₹   7728.00 | EMAs converging, no breakout yet
2026-04-11 01:32:38 | INFO | 🟢 HOLD_ADD   | ONGC            | ₹    286.50 | Above all weekly EMAs
2026-04-11 01:32:41 | INFO | 🟡 WAIT       | CHOLAFIN        | ₹   1581.20 | EMAs converging, no breakout yet
2026-04-11 01:32:43 | INFO | 🔴 EXIT       | NAUKRI          | ₹    990.90 | Below 40W EMA
2026-04-11 01:32:45 | WARNING | TMPV: Insufficient data for analysis
2026-04-11 01:32:47 | INFO | 🔴 EXIT       | DLF             | ₹    569.60 | Below 40W EMA
2026-04-11 01:32:49 | INFO | 🔴 EXIT       | ADANIENT        | ₹   2086.80 | Below 40W EMA
2026-04-11 01:32:51 | INFO | 🔴 EXIT       | CDSL            | ₹   1303.40 | Below 40W EMA
2026-04-11 01:32:53 | INFO | 🟡 WAIT       | APOLLOHOSP      | ₹   7511.50 | EMAs converging, no breakout yet
2026-04-11 01:32:56 | INFO | 🟡 WAIT       | AMBER           | ₹   7245.00 | EMAs converging, no breakout yet
2026-04-11 01:32:58 | INFO | 🟢 HOLD_ADD   | NETWEB          | ₹   3346.20 | Above all weekly EMAs
2026-04-11 01:33:00 | INFO | 🔴 EXIT       | PRESTIGE        | ₹   1322.40 | Below 40W EMA
2026-04-11 01:33:02 | INFO | 🟢 HOLD_ADD   | BOSCHLTD        | ₹  37330.00 | Above all weekly EMAs
2026-04-11 01:33:04 | INFO | 🟢 HOLD_ADD   | DATAPATTNS      | ₹   3269.60 | Above all weekly EMAs
2026-04-11 01:33:06 | INFO | 🟢 HOLD_ADD   | MOTHERSON       | ₹    122.16 | Above all weekly EMAs
2026-04-11 01:33:08 | INFO | 🔴 EXIT       | SUZLON          | ₹     45.32 | Below 40W EMA
2026-04-11 01:33:11 | INFO | 🟢 HOLD_ADD   | MUTHOOTFIN      | ₹   3573.90 | Above all weekly EMAs
2026-04-11 01:33:13 | WARNING | ICICIAMC: Insufficient data for analysis
2026-04-11 01:33:15 | INFO | 🟢 HOLD_ADD   | LUPIN           | ₹   2333.80 | Above all weekly EMAs
2026-04-11 01:33:17 | INFO | 🔴 EXIT       | TECHM           | ₹   1440.20 | Below 40W EMA
2026-04-11 01:33:19 | INFO | 🟢 HOLD_ADD   | CANBK           | ₹    140.15 | Above all weekly EMAs
2026-04-11 01:33:21 | INFO | 🔴 EXIT       | JIOFIN          | ₹    243.20 | Below 40W EMA
2026-04-11 01:33:23 | INFO | 🟡 WAIT       | BANKBARODA      | ₹    276.19 | EMAs converging, no breakout yet
2026-04-11 01:33:25 | INFO | 🟠 CAUTIOUS   | PAYTM           | ₹   1123.85 | Below 20W EMA
2026-04-11 01:33:28 | INFO | 🔴 EXIT       | GODFRYPHLP      | ₹   2101.60 | Below 40W EMA
2026-04-11 01:33:30 | INFO | 🟡 WAIT       | SAMMAANCAP      | ₹    155.84 | EMAs converging, no breakout yet
2026-04-11 01:33:32 | INFO | 🔴 EXIT       | HDFCLIFE        | ₹    604.15 | Below 40W EMA
2026-04-11 01:33:34 | INFO | 🟢 HOLD_ADD   | BHARATFORG      | ₹   1798.80 | Above all weekly EMAs
2026-04-11 01:33:36 | INFO | ✅ BULLISH    | SONACOMS        | ₹    554.25 | Resistance breakout with EMAs converging
2026-04-11 01:33:38 | INFO | 🔴 EXIT       | CIPLA           | ₹   1229.50 | Below 40W EMA
2026-04-11 01:33:40 | INFO | 🟢 HOLD_ADD   | HINDCOPPER      | ₹    530.05 | Above all weekly EMAs
2026-04-11 01:33:43 | INFO | 🟢 HOLD_ADD   | FEDERALBNK      | ₹    291.70 | Above all weekly EMAs
2026-04-11 01:33:45 | WARNING | MEESHO: Insufficient data for analysis
2026-04-11 01:33:47 | WARNING | LENSKART: Insufficient data for analysis
2026-04-11 01:33:49 | INFO | 🟢 HOLD_ADD   | SAIL            | ₹    166.02 | Above all weekly EMAs
2026-04-11 01:33:51 | INFO | 🔴 EXIT       | VBL             | ₹    431.60 | Below 40W EMA
2026-04-11 01:33:53 | INFO | 🟢 HOLD_ADD   | UNIONBANK       | ₹    189.03 | Above all weekly EMAs
2026-04-11 01:33:55 | INFO | 🔴 EXIT       | POLICYBZR       | ₹   1509.80 | Below 40W EMA
2026-04-11 01:33:58 | INFO | 🟡 WAIT       | TATAPOWER       | ₹    399.35 | EMAs converging, no breakout yet
2026-04-11 01:34:00 | INFO | 🟢 HOLD_ADD   | ANANDRATHI      | ₹   3578.50 | Above all weekly EMAs
2026-04-11 01:34:02 | INFO | 🟡 WAIT       | HDFCAMC         | ₹   2619.30 | EMAs converging, no breakout yet
2026-04-11 01:34:04 | INFO | 🔴 EXIT       | MPHASIS         | ₹   2326.70 | Below 40W EMA
2026-04-11 01:34:06 | INFO | 🔴 EXIT       | AEGISLOG        | ₹    632.45 | Below 40W EMA
2026-04-11 01:34:08 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1232.20 | EMAs converging, no breakout yet
2026-04-11 01:34:10 | INFO | 🔴 EXIT       | POONAWALLA      | ₹    400.25 | Below 40W EMA
2026-04-11 01:34:13 | INFO | 🔴 EXIT       | HINDPETRO       | ₹    360.60 | Below 40W EMA
2026-04-11 01:34:15 | INFO | 🔴 EXIT       | PGEL            | ₹    486.75 | Below 40W EMA
2026-04-11 01:34:17 | INFO | 🔴 EXIT       | RECLTD          | ₹    349.80 | Below 40W EMA
2026-04-11 01:34:19 | INFO | 🟢 HOLD_ADD   | HINDZINC        | ₹    564.60 | Above all weekly EMAs
2026-04-11 01:34:21 | INFO | 🔴 EXIT       | SWIGGY          | ₹    275.00 | Below 40W EMA
2026-04-11 01:34:23 | INFO | 🔴 EXIT       | PIDILITIND      | ₹   1357.10 | Below 40W EMA
2026-04-11 01:34:26 | INFO | 🔴 EXIT       | GAIL            | ₹    154.08 | Below 40W EMA
2026-04-11 01:34:28 | INFO | 🔴 EXIT       | TEJASNET        | ₹    443.45 | Below 40W EMA
2026-04-11 01:34:30 | INFO | 🟢 HOLD_ADD   | ITI             | ₹    292.46 | Above all weekly EMAs
2026-04-11 01:34:32 | INFO | 🔴 EXIT       | RVNL            | ₹    275.00 | Below 40W EMA
2026-04-11 01:34:34 | INFO | 🟡 WAIT       | SIEMENS         | ₹   3388.50 | EMAs converging, no breakout yet
2026-04-11 01:34:36 | INFO | 🔴 EXIT       | IRFC            | ₹    100.26 | Below 40W EMA
2026-04-11 01:34:38 | INFO | 🟢 HOLD_ADD   | JSWSTEEL        | ₹   1214.80 | Above all weekly EMAs
2026-04-11 01:34:40 | INFO | 🟢 HOLD_ADD   | INDUSTOWER      | ₹    437.85 | Above all weekly EMAs
2026-04-11 01:34:43 | WARNING | URBANCO: Insufficient data for analysis
2026-04-11 01:34:45 | INFO | 🟡 WAIT       | DIVISLAB        | ₹   6116.50 | EMAs converging, no breakout yet
2026-04-11 01:34:47 | INFO | 🔴 EXIT       | LICI            | ₹    798.35 | Below 40W EMA
2026-04-11 01:34:49 | INFO | 🔴 EXIT       | UNITDSPR        | ₹   1268.20 | Below 40W EMA
2026-04-11 01:34:51 | INFO | 🟢 HOLD_ADD   | NMDC            | ₹     85.07 | Above all weekly EMAs
2026-04-11 01:34:53 | INFO | 🟢 HOLD_ADD   | JINDALSTEL      | ₹   1219.20 | Above all weekly EMAs
2026-04-11 01:34:56 | INFO | 🟡 WAIT       | IOC             | ₹    142.96 | EMAs converging, no breakout yet
2026-04-11 01:34:58 | INFO | 🟡 WAIT       | PNB             | ₹    111.80 | EMAs converging, no breakout yet
2026-04-11 01:35:00 | INFO | 🟢 HOLD_ADD   | INDIANB         | ₹    967.75 | Above all weekly EMAs
2026-04-11 01:35:02 | INFO | 🟡 WAIT       | DMART           | ₹   4400.60 | EMAs converging, no breakout yet
2026-04-11 01:35:04 | INFO | 🟢 HOLD_ADD   | LAURUSLABS      | ₹   1098.35 | Above all weekly EMAs
2026-04-11 01:35:06 | INFO | 🟢 HOLD_ADD   | NAM-INDIA       | ₹    955.25 | Above all weekly EMAs
2026-04-11 01:35:08 | INFO | 🟢 HOLD_ADD   | APARINDS        | ₹  11342.00 | Above all weekly EMAs
2026-04-11 01:35:10 | INFO | 🔴 EXIT       | KALYANKJIL      | ₹    449.15 | Below 40W EMA
2026-04-11 01:35:13 | INFO | 🔴 EXIT       | SRF             | ₹   2473.40 | Below 40W EMA
2026-04-11 01:35:15 | WARNING | LTM: Insufficient data for analysis
2026-04-11 01:35:17 | INFO | 🟡 WAIT       | BRITANNIA       | ₹   5557.50 | EMAs converging, no breakout yet
2026-04-11 01:35:19 | INFO | 🔴 EXIT       | ZEEL            | ₹     81.94 | Below 40W EMA
2026-04-11 01:35:21 | INFO | 🟡 WAIT       | VOLTAS          | ₹   1315.60 | EMAs converging, no breakout yet
2026-04-11 01:35:23 | INFO | 🔴 EXIT       | SHREECEM        | ₹  24340.00 | Below 40W EMA
2026-04-11 01:35:26 | INFO | 🟢 HOLD_ADD   | AUBANK          | ₹    981.80 | Above all weekly EMAs
2026-04-11 01:35:28 | INFO | 🟢 HOLD_ADD   | ASTRAL          | ₹   1630.00 | Above all weekly EMAs
2026-04-11 01:35:30 | INFO | 🟡 WAIT       | GMRAIRPORT      | ₹     95.25 | EMAs converging, no breakout yet
