2026-05-02 02:07:03 | INFO | 🟠 CAUTIOUS   | UNIONBANK       | ₹    165.94 | Below 20W EMA
2026-05-02 02:07:05 | INFO | 🟢 HOLD_ADD   | TATAPOWER       | ₹    445.50 | Above all weekly EMAs
2026-05-02 02:07:07 | INFO | 🔴 EXIT       | LODHA           | ₹    893.55 | Below 40W EMA
2026-05-02 02:07:09 | INFO | 🟠 CAUTIOUS   | CANBK           | ₹    134.70 | Below 20W EMA
2026-05-02 02:07:11 | INFO | 🟢 HOLD_ADD   | CGPOWER         | ₹    813.90 | Above all weekly EMAs
2026-05-02 02:07:13 | INFO | 🔴 EXIT       | PERSISTENT      | ₹   4804.00 | Below 40W EMA
2026-05-02 02:07:16 | INFO | 🟢 HOLD_ADD   | LAURUSLABS      | ₹   1106.45 | Above all weekly EMAs
2026-05-02 02:07:18 | INFO | 🟢 HOLD_ADD   | LUPIN           | ₹   2312.30 | Above all weekly EMAs
2026-05-02 02:07:20 | INFO | 🟡 WAIT       | DIVISLAB        | ₹   6508.00 | EMAs converging, no breakout yet
2026-05-02 02:07:23 | INFO | 🔴 EXIT       | GODFRYPHLP      | ₹   2256.00 | Below 40W EMA
2026-05-02 02:07:25 | INFO | 🔴 EXIT       | PGEL            | ₹    535.50 | Below 40W EMA
2026-05-02 02:07:27 | INFO | 🟡 WAIT       | HEROMOTOCO      | ₹   5110.00 | EMAs converging, no breakout yet
2026-05-02 02:07:29 | INFO | 🟢 HOLD_ADD   | DMART           | ₹   4614.00 | Above all weekly EMAs
2026-05-02 02:07:31 | INFO | 🟢 HOLD_ADD   | SCI             | ₹    305.00 | Above all weekly EMAs
2026-05-02 02:07:33 | INFO | 🟢 HOLD_ADD   | APARINDS        | ₹  12351.00 | Above all weekly EMAs
2026-05-02 02:07:35 | WARNING | TMCV: Insufficient data for analysis
2026-05-02 02:07:38 | INFO | 🟢 HOLD_ADD   | HINDCOPPER      | ₹    538.95 | Above all weekly EMAs
2026-05-02 02:07:40 | INFO | 🟢 HOLD_ADD   | CUMMINSIND      | ₹   5269.80 | Above all weekly EMAs
2026-05-02 02:07:42 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   7259.00 | Above all weekly EMAs
2026-05-02 02:07:44 | INFO | 🔴 EXIT       | TRENT           | ₹   4148.00 | Below 40W EMA
2026-05-02 02:07:46 | INFO | 🔴 EXIT       | MAXHEALTH       | ₹    992.00 | Below 40W EMA
2026-05-02 02:07:49 | INFO | 🟡 WAIT       | IOC             | ₹    142.44 | EMAs converging, no breakout yet
2026-05-02 02:07:51 | INFO | 🟢 HOLD_ADD   | OIL             | ₹    490.00 | Above all weekly EMAs
2026-05-02 02:07:53 | INFO | 🟡 WAIT       | PAYTM           | ₹   1095.95 | EMAs converging, no breakout yet
2026-05-02 02:07:55 | INFO | 🟢 HOLD_ADD   | RBLBANK         | ₹    337.90 | Above all weekly EMAs
2026-05-02 02:07:57 | WARNING | URBANCO: Insufficient data for analysis
2026-05-02 02:07:59 | INFO | 🔴 EXIT       | KPITTECH        | ₹    760.80 | Below 40W EMA
2026-05-02 02:08:02 | INFO | 🟢 HOLD_ADD   | NMDC            | ₹     90.40 | Above all weekly EMAs
2026-05-02 02:08:04 | INFO | 🟢 HOLD_ADD   | IKS             | ₹   1650.00 | Above all weekly EMAs
2026-05-02 02:08:06 | INFO | 🔴 EXIT       | OLAELEC         | ₹     36.55 | Below 40W EMA
2026-05-02 02:08:08 | INFO | 🔴 EXIT       | SWIGGY          | ₹    272.00 | Below 40W EMA
2026-05-02 02:08:10 | INFO | 🔴 EXIT       | GODREJPROP      | ₹   1832.00 | Below 40W EMA
2026-05-02 02:08:12 | INFO | 🔴 EXIT       | TARIL           | ₹    333.00 | Below 40W EMA
2026-05-02 02:08:15 | INFO | 🟢 HOLD_ADD   | MOTHERSON       | ₹    121.50 | Above all weekly EMAs
2026-05-02 02:08:17 | INFO | 🔴 EXIT       | DLF             | ₹    587.15 | Below 40W EMA
2026-05-02 02:08:19 | INFO | 🟡 WAIT       | ATGL            | ₹    634.90 | EMAs converging, no breakout yet
2026-05-02 02:08:21 | INFO | 🟢 HOLD_ADD   | PREMIERENE      | ₹   1014.00 | Above all weekly EMAs
2026-05-02 02:08:23 | INFO | 🟡 WAIT       | CAMS            | ₹    740.00 | EMAs converging, no breakout yet
2026-05-02 02:08:26 | INFO | 🔴 EXIT       | HINDPETRO       | ₹    374.65 | Below 40W EMA
2026-05-02 02:08:28 | INFO | 🔴 EXIT       | ASIANPAINT      | ₹   2450.00 | Below 40W EMA
2026-05-02 02:08:30 | INFO | 🟢 HOLD_ADD   | RRKABEL         | ₹   1571.00 | Above all weekly EMAs
2026-05-02 02:08:32 | INFO | 🟡 WAIT       | SBILIFE         | ₹   1820.00 | EMAs converging, no breakout yet
2026-05-02 02:08:34 | INFO | 🔴 EXIT       | HAVELLS         | ₹   1243.00 | Below 40W EMA
2026-05-02 02:08:36 | INFO | 🔴 EXIT       | SAPPHIRE        | ₹    204.89 | Below 40W EMA
2026-05-02 02:08:39 | INFO | 🟢 HOLD_ADD   | GLENMARK        | ₹   2400.00 | Above all weekly EMAs
2026-05-02 02:08:41 | INFO | 🔴 EXIT       | CROMPTON        | ₹    270.80 | Below 40W EMA
2026-05-02 02:08:43 | INFO | 🟢 HOLD_ADD   | NAM-INDIA       | ₹   1010.00 | Above all weekly EMAs
2026-05-02 02:08:45 | INFO | 🟢 HOLD_ADD   | ATHERENERG      | ₹    933.75 | Above all weekly EMAs
2026-05-02 02:08:47 | INFO | 🔴 EXIT       | BDL             | ₹   1372.00 | Below 40W EMA
