2026-04-25 01:51:49 | INFO | 🔴 EXIT       | SWIGGY          | ₹    287.10 | Below 40W EMA
2026-04-25 01:51:51 | INFO | 🟢 HOLD_ADD   | CGPOWER         | ₹    823.15 | Above all weekly EMAs
2026-04-25 01:51:54 | INFO | ✅ BULLISH    | PNBHOUSING      | ₹   1033.65 | Resistance breakout with EMAs converging
2026-04-25 01:51:56 | INFO | 🟢 HOLD_ADD   | SAIL            | ₹    178.46 | Above all weekly EMAs
2026-04-25 01:51:58 | INFO | 🔴 EXIT       | BPCL            | ₹    308.10 | Below 40W EMA
2026-04-25 01:52:00 | INFO | 🟡 WAIT       | APOLLOHOSP      | ₹   7732.50 | EMAs converging, no breakout yet
2026-04-25 01:52:02 | INFO | 🟢 HOLD_ADD   | POWERGRID       | ₹    316.40 | Above all weekly EMAs
2026-04-25 01:52:04 | INFO | 🟢 HOLD_ADD   | HFCL            | ₹    100.22 | Above all weekly EMAs
2026-04-25 01:52:07 | INFO | 🟢 HOLD_ADD   | NMDC            | ₹     89.29 | Above all weekly EMAs
2026-04-25 01:52:09 | INFO | 🟡 WAIT       | GRASIM          | ₹   2739.30 | EMAs converging, no breakout yet
2026-04-25 01:52:11 | INFO | 🔴 EXIT       | OLAELEC         | ₹     35.79 | Below 40W EMA
2026-04-25 01:52:13 | INFO | 🟢 HOLD_ADD   | NAVINFLUOR      | ₹   6452.00 | Above all weekly EMAs
2026-04-25 01:52:15 | INFO | 🟢 HOLD_ADD   | LUPIN           | ₹   2296.10 | Above all weekly EMAs
2026-04-25 01:52:17 | INFO | 🟢 HOLD_ADD   | BDL             | ₹   1400.40 | Above all weekly EMAs
2026-04-25 01:52:19 | INFO | 🟡 WAIT       | HDFCAMC         | ₹   2735.00 | EMAs converging, no breakout yet
2026-04-25 01:52:21 | INFO | 🟠 CAUTIOUS   | EICHERMOT       | ₹   7111.50 | Below 20W EMA
2026-04-25 01:52:24 | INFO | 🟢 HOLD_ADD   | TATAPOWER       | ₹    435.00 | Above all weekly EMAs
2026-04-25 01:52:26 | INFO | 🟢 HOLD_ADD   | ANGELONE        | ₹    314.52 | Above all weekly EMAs
2026-04-25 01:52:28 | INFO | 🟢 HOLD_ADD   | ATHERENERG      | ₹    883.00 | Above all weekly EMAs
2026-04-25 01:52:30 | INFO | 🟠 CAUTIOUS   | FORCEMOT        | ₹  20347.00 | Below 20W EMA
2026-04-25 01:52:32 | INFO | 🟡 WAIT       | BRITANNIA       | ₹   5730.50 | EMAs converging, no breakout yet
2026-04-25 01:52:34 | INFO | 🟢 HOLD_ADD   | OIL             | ₹    473.70 | Above all weekly EMAs
2026-04-25 01:52:36 | INFO | 🟢 HOLD_ADD   | CANBK           | ₹    140.85 | Above all weekly EMAs
2026-04-25 01:52:38 | INFO | ✅ BULLISH    | JPPOWER         | ₹     19.29 | Resistance breakout with EMAs converging
2026-04-25 01:52:41 | INFO | 🟡 WAIT       | HEROMOTOCO      | ₹   4961.50 | EMAs converging, no breakout yet
2026-04-25 01:52:43 | INFO | 🟢 HOLD_ADD   | CUMMINSIND      | ₹   5232.00 | Above all weekly EMAs
2026-04-25 01:52:45 | INFO | 🟠 CAUTIOUS   | TVSMOTOR        | ₹   3488.20 | Below 20W EMA
2026-04-25 01:52:47 | INFO | 🔴 EXIT       | MAXHEALTH       | ₹    999.40 | Below 40W EMA
2026-04-25 01:52:49 | INFO | 🔴 EXIT       | RPOWER          | ₹     28.40 | Below 40W EMA
2026-04-25 01:52:51 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   7328.50 | Above all weekly EMAs
2026-04-25 01:52:53 | INFO | 🟢 HOLD_ADD   | NTPC            | ₹    401.85 | Above all weekly EMAs
2026-04-25 01:52:56 | INFO | 🟢 HOLD_ADD   | JSWSTEEL        | ₹   1255.70 | Above all weekly EMAs
2026-04-25 01:52:58 | INFO | 🔴 EXIT       | ARE&M           | ₹    880.20 | Below 40W EMA
2026-04-25 01:53:00 | INFO | 🔴 EXIT       | INDUSTOWER      | ₹    402.20 | Below 40W EMA
2026-04-25 01:53:02 | INFO | ✅ BULLISH    | JSWENERGY       | ₹    544.95 | Resistance breakout with EMAs converging
2026-04-25 01:53:04 | INFO | 🔴 EXIT       | IEX             | ₹    123.23 | Below 40W EMA
2026-04-25 01:53:06 | INFO | 🟢 HOLD_ADD   | INDIANB         | ₹    909.90 | Above all weekly EMAs
2026-04-25 01:53:08 | INFO | 🟡 WAIT       | SUPREMEIND      | ₹   3664.00 | EMAs converging, no breakout yet
