2026-03-14 01:25:07 | INFO | 🔴 EXIT       | BOSCHLTD        | ₹  30185.00 | Broke support with EMAs converging
2026-03-14 01:25:09 | INFO | 🔴 EXIT       | BAJAJHLDNG      | ₹   9506.00 | Below 40W EMA
2026-03-14 01:25:11 | INFO | 🔴 EXIT       | LODHA           | ₹    866.35 | Below 40W EMA
2026-03-14 01:25:14 | INFO | 🔴 EXIT       | BAJAJHFL        | ₹     82.15 | Below 40W EMA
2026-03-14 01:25:16 | INFO | 🔴 EXIT       | TATACOMM        | ₹   1398.10 | Below 40W EMA
2026-03-14 01:25:18 | INFO | 🟢 HOLD_ADD   | BSE             | ₹   2797.00 | Above all weekly EMAs
2026-03-14 01:25:20 | INFO | 🔴 EXIT       | UBL             | ₹   1642.70 | Below 40W EMA
2026-03-14 01:25:22 | INFO | 🔴 EXIT       | SWIGGY          | ₹    282.15 | Below 40W EMA
2026-03-14 01:25:25 | INFO | 🔴 EXIT       | NIACL           | ₹    134.61 | Below 40W EMA
2026-03-14 01:25:27 | INFO | 🟢 HOLD_ADD   | TORNTPOWER      | ₹   1461.30 | Above all weekly EMAs
2026-03-14 01:25:29 | INFO | 🟡 WAIT       | LINDEINDIA      | ₹   6944.50 | EMAs converging, no breakout yet
2026-03-14 01:25:31 | INFO | 🔴 EXIT       | IDBI            | ₹     92.18 | Below 40W EMA
2026-03-14 01:25:34 | INFO | 🔴 EXIT       | GLAXO           | ₹   2424.30 | Below 40W EMA
2026-03-14 01:25:36 | INFO | 🔴 EXIT       | VMM             | ₹    102.79 | Below 40W EMA
2026-03-14 01:25:38 | INFO | 🔴 EXIT       | TIINDIA         | ₹   2458.20 | Below 40W EMA
2026-03-14 01:25:40 | INFO | 🟡 WAIT       | GICRE           | ₹    359.85 | EMAs converging, no breakout yet
2026-03-14 01:25:42 | INFO | 🟠 CAUTIOUS   | 3MINDIA         | ₹  32985.00 | Below 20W EMA
2026-03-14 01:25:44 | INFO | 🔴 EXIT       | MOTILALOFS      | ₹    680.25 | Below 40W EMA
2026-03-14 01:25:47 | INFO | 🟠 CAUTIOUS   | MUTHOOTFIN      | ₹   3333.20 | Below 20W EMA
2026-03-14 01:25:49 | INFO | 🔴 EXIT       | TATAELXSI       | ₹   4255.00 | Below 40W EMA
2026-03-14 01:25:51 | INFO | 🟢 HOLD_ADD   | ASTRAL          | ₹   1611.80 | Above all weekly EMAs
