2026-05-16 02:15:30 | INFO | 🟢 HOLD_ADD   | COALINDIA       | ₹    462.20 | Above all weekly EMAs
2026-05-16 02:15:32 | INFO | 🔴 EXIT       | PERSISTENT      | ₹   4702.10 | Below 40W EMA
2026-05-16 02:15:35 | INFO | 🔴 EXIT       | MARUTI          | ₹  13221.00 | Below 40W EMA
2026-05-16 02:15:37 | INFO | ✅ BULLISH    | BIOCON          | ₹    430.10 | Resistance breakout with EMAs converging
2026-05-16 02:15:39 | INFO | 🟠 CAUTIOUS   | TVSMOTOR        | ₹   3466.80 | Below 20W EMA
2026-05-16 02:15:41 | INFO | 🟢 HOLD_ADD   | POWERINDIA      | ₹  32535.00 | Above all weekly EMAs
2026-05-16 02:15:44 | INFO | 🟢 HOLD_ADD   | NATIONALUM      | ₹    403.60 | Above all weekly EMAs
2026-05-16 02:15:46 | INFO | ✅ BULLISH    | TATACONSUM      | ₹   1234.00 | Resistance breakout with EMAs converging
2026-05-16 02:15:48 | INFO | 🔴 EXIT       | WIPRO           | ₹    190.00 | Below 40W EMA
2026-05-16 02:15:51 | INFO | 🟢 HOLD_ADD   | KIRLOSENG       | ₹   1740.20 | Above all weekly EMAs
2026-05-16 02:15:53 | INFO | 🔴 EXIT       | PATANJALI       | ₹    459.85 | Below 40W EMA
2026-05-16 02:15:56 | INFO | 🟡 WAIT       | INDUSTOWER      | ₹    430.15 | EMAs converging, no breakout yet
2026-05-16 02:15:58 | INFO | 🟡 WAIT       | ULTRACEMCO      | ₹  11487.00 | EMAs converging, no breakout yet
2026-05-16 02:16:00 | INFO | 🟠 CAUTIOUS   | BEL             | ₹    423.65 | Below 20W EMA
2026-05-16 02:16:02 | INFO | 🟢 HOLD_ADD   | AMBER           | ₹   8476.50 | Above all weekly EMAs
2026-05-16 02:16:05 | INFO | 🟡 WAIT       | POLICYBZR       | ₹   1688.30 | EMAs converging, no breakout yet
2026-05-16 02:16:07 | INFO | 🟠 CAUTIOUS   | FORCEMOT        | ₹  20356.00 | Below 20W EMA
2026-05-16 02:16:09 | INFO | 🟢 HOLD_ADD   | POWERGRID       | ₹    305.85 | Above all weekly EMAs
2026-05-16 02:16:12 | INFO | 🔴 EXIT       | INDIGO          | ₹   4314.90 | Below 40W EMA
2026-05-16 02:16:14 | INFO | 🟡 WAIT       | SAMMAANCAP      | ₹    142.67 | EMAs converging, no breakout yet
2026-05-16 02:16:16 | INFO | 🟡 WAIT       | HUDCO           | ₹    206.53 | EMAs converging, no breakout yet
2026-05-16 02:16:19 | INFO | 🟡 WAIT       | VOLTAS          | ₹   1230.70 | EMAs converging, no breakout yet
2026-05-16 02:16:21 | INFO | 🟢 HOLD_ADD   | LAURUSLABS      | ₹   1323.60 | Above all weekly EMAs
2026-05-16 02:16:23 | INFO | 🟢 HOLD_ADD   | NETWEB          | ₹   3840.50 | Above all weekly EMAs
2026-05-16 02:16:25 | INFO | 🟡 WAIT       | BANKBARODA      | ₹    261.40 | EMAs converging, no breakout yet
2026-05-16 02:16:28 | INFO | ✅ BULLISH    | MANKIND         | ₹   2503.00 | Resistance breakout with EMAs converging
2026-05-16 02:16:30 | INFO | 🟢 HOLD_ADD   | NTPC            | ₹    395.25 | Above all weekly EMAs
2026-05-16 02:16:32 | INFO | 🟢 HOLD_ADD   | OFSS            | ₹   9015.00 | Above all weekly EMAs
2026-05-16 02:16:35 | INFO | 🟢 HOLD_ADD   | DELHIVERY       | ₹    475.75 | Above all weekly EMAs
2026-05-16 02:16:37 | INFO | 🔴 EXIT       | TRENT           | ₹   4101.30 | Below 40W EMA
2026-05-16 02:16:39 | INFO | 🟢 HOLD_ADD   | MOTHERSON       | ₹    129.92 | Above all weekly EMAs
2026-05-16 02:16:42 | INFO | 🟡 WAIT       | JSWENERGY       | ₹    515.05 | EMAs converging, no breakout yet
2026-05-16 02:16:44 | INFO | 🔴 EXIT       | JIOFIN          | ₹    233.06 | Below 40W EMA
2026-05-16 02:16:46 | INFO | 🟢 HOLD_ADD   | APOLLOHOSP      | ₹   8082.50 | Above all weekly EMAs
2026-05-16 02:16:49 | WARNING | LTM: Insufficient data for analysis
2026-05-16 02:16:51 | INFO | 🟢 HOLD_ADD   | CARBORUNIV      | ₹   1102.40 | Above all weekly EMAs
2026-05-16 02:16:53 | INFO | 🟡 WAIT       | COCHINSHIP      | ₹   1594.50 | EMAs converging, no breakout yet
2026-05-16 02:16:56 | INFO | 🟡 WAIT       | YESBANK         | ₹     22.07 | EMAs converging, no breakout yet
2026-05-16 02:16:58 | INFO | 🟡 WAIT       | HINDUNILVR      | ₹   2272.20 | EMAs converging, no breakout yet
2026-05-16 02:17:00 | INFO | 🟢 HOLD_ADD   | BAJAJ-AUTO      | ₹  10377.50 | Above all weekly EMAs
2026-05-16 02:17:03 | INFO | 🟢 HOLD_ADD   | CUMMINSIND      | ₹   5392.00 | Above all weekly EMAs
2026-05-16 02:17:05 | INFO | 🟡 WAIT       | PNB             | ₹    102.05 | EMAs converging, no breakout yet
2026-05-16 02:17:07 | INFO | 🔴 EXIT       | KALYANKJIL      | ₹    353.05 | Below 40W EMA
2026-05-16 02:17:10 | INFO | 🟢 HOLD_ADD   | GMDCLTD         | ₹    652.60 | Above all weekly EMAs
2026-05-16 02:17:12 | INFO | 🟠 CAUTIOUS   | EICHERMOT       | ₹   7014.50 | Below 20W EMA
2026-05-16 02:17:15 | INFO | 🟡 WAIT       | DIVISLAB        | ₹   6760.50 | EMAs converging, no breakout yet
2026-05-16 02:17:17 | INFO | 🟡 WAIT       | HEROMOTOCO      | ₹   5064.50 | EMAs converging, no breakout yet
2026-05-16 02:17:19 | INFO | 🟢 HOLD_ADD   | NMDC            | ₹     91.41 | Above all weekly EMAs
2026-05-16 02:17:22 | INFO | 🟡 WAIT       | ASIANPAINT      | ₹   2605.60 | EMAs converging, no breakout yet
2026-05-16 02:17:24 | INFO | 🔴 EXIT       | IDFCFIRSTB      | ₹     67.65 | Below 40W EMA
2026-05-16 02:17:26 | WARNING | ENRIN: Insufficient data for analysis
2026-05-16 02:17:29 | INFO | 🟣 FADING     | NAVA            | ₹    628.50 | Below 10W EMA - momentum fading
2026-05-16 02:17:31 | INFO | ✅ BULLISH    | ZYDUSLIFE       | ₹   1011.70 | Resistance breakout with EMAs converging
2026-05-16 02:17:33 | INFO | 🟢 HOLD_ADD   | OIL             | ₹    518.30 | Above all weekly EMAs
2026-05-16 02:17:36 | INFO | 🟢 HOLD_ADD   | HEG             | ₹    624.60 | Above all weekly EMAs
2026-05-16 02:17:38 | INFO | 🔴 EXIT       | LATENTVIEW      | ₹    307.25 | Below 40W EMA
2026-05-16 02:17:40 | INFO | 🔴 EXIT       | INDIANB         | ₹    820.60 | Below 40W EMA
2026-05-16 02:17:43 | INFO | 🟡 WAIT       | VBL             | ₹    503.80 | EMAs converging, no breakout yet
2026-05-16 02:17:45 | INFO | 🟢 HOLD_ADD   | ANGELONE        | ₹    306.85 | Above all weekly EMAs
2026-05-16 02:17:47 | INFO | 🟢 HOLD_ADD   | POLYCAB         | ₹   9152.50 | Above all weekly EMAs
2026-05-16 02:17:49 | INFO | 🔴 EXIT       | DLF             | ₹    566.75 | Below 40W EMA
2026-05-16 02:17:52 | INFO | 🔴 EXIT       | VMM             | ₹    118.99 | Below 40W EMA
2026-05-16 02:17:54 | INFO | 🟡 WAIT       | LICHSGFIN       | ₹    547.05 | EMAs converging, no breakout yet
2026-05-16 02:17:56 | INFO | 🟢 HOLD_ADD   | KEI             | ₹   5117.50 | Above all weekly EMAs
2026-05-16 02:17:59 | INFO | 🟡 WAIT       | WAAREEENER      | ₹   3022.00 | EMAs converging, no breakout yet
2026-05-16 02:18:01 | INFO | 🟢 HOLD_ADD   | IPCALAB         | ₹   1605.00 | Above all weekly EMAs
2026-05-16 02:18:03 | INFO | 🟢 HOLD_ADD   | TRITURBINE      | ₹    606.95 | Above all weekly EMAs
2026-05-16 02:18:06 | INFO | 🔴 EXIT       | SWIGGY          | ₹    255.40 | Below 40W EMA
2026-05-16 02:18:08 | INFO | 🟣 FADING     | TATAPOWER       | ₹    407.00 | Below 10W EMA - momentum fading
2026-05-16 02:18:10 | INFO | 🔴 EXIT       | HDFCLIFE        | ₹    608.70 | Below 40W EMA
2026-05-16 02:18:13 | WARNING | LENSKART: Insufficient data for analysis
2026-05-16 02:18:15 | INFO | 🟢 HOLD_ADD   | NEULANDLAB      | ₹  16590.00 | Above all weekly EMAs
2026-05-16 02:18:17 | INFO | 🟢 HOLD_ADD   | RADICO          | ₹   3499.20 | Above all weekly EMAs
2026-05-16 02:18:20 | INFO | 🟣 FADING     | FEDERALBNK      | ₹    281.30 | Below 10W EMA - momentum fading
2026-05-16 02:18:22 | INFO | 🟢 HOLD_ADD   | AUBANK          | ₹    990.50 | Above all weekly EMAs
2026-05-16 02:18:24 | INFO | 🔴 EXIT       | OLAELEC         | ₹     35.68 | Below 40W EMA
2026-05-16 02:18:26 | INFO | 🟡 WAIT       | MAZDOCK         | ₹   2481.80 | EMAs converging, no breakout yet
2026-05-16 02:18:29 | INFO | 🔴 EXIT       | CDSL            | ₹   1186.70 | Below 40W EMA
2026-05-16 02:18:31 | INFO | 🔴 EXIT       | KFINTECH        | ₹    808.20 | Below 40W EMA
2026-05-16 02:18:33 | INFO | 🔴 EXIT       | GODREJCP        | ₹   1039.20 | Below 40W EMA
2026-05-16 02:18:36 | INFO | 🟢 HOLD_ADD   | CIPLA           | ₹   1432.10 | Above all weekly EMAs
2026-05-16 02:18:38 | INFO | 🟢 HOLD_ADD   | ABCAPITAL       | ₹    357.15 | Above all weekly EMAs
2026-05-16 02:18:40 | WARNING | MEESHO: Insufficient data for analysis
2026-05-16 02:18:43 | INFO | 🔴 EXIT       | NEWGEN          | ₹    472.30 | Below 40W EMA
2026-05-16 02:18:45 | INFO | 🟢 HOLD_ADD   | GODFRYPHLP      | ₹   2424.90 | Above all weekly EMAs
2026-05-16 02:18:47 | INFO | 🟡 WAIT       | TIINDIA         | ₹   2850.30 | EMAs converging, no breakout yet
2026-05-16 02:18:49 | INFO | 🟡 WAIT       | WOCKPHARMA      | ₹   1545.90 | EMAs converging, no breakout yet
2026-05-16 02:18:52 | INFO | 🟣 FADING     | ABB             | ₹   6381.00 | Below 10W EMA - momentum fading
2026-05-16 02:18:54 | INFO | 🟡 WAIT       | SBILIFE         | ₹   1864.50 | EMAs converging, no breakout yet
2026-05-16 02:18:56 | INFO | 🟡 WAIT       | WELSPUNLIV      | ₹    141.02 | EMAs converging, no breakout yet
2026-05-16 02:18:59 | INFO | 🟢 HOLD_ADD   | BHARATFORG      | ₹   1913.10 | Above all weekly EMAs
2026-05-16 02:19:01 | INFO | 🔴 EXIT       | MAXHEALTH       | ₹   1050.10 | Below 40W EMA
2026-05-16 02:19:03 | INFO | 🟢 HOLD_ADD   | PFC             | ₹    445.75 | Above all weekly EMAs
2026-05-16 02:19:06 | INFO | 🔴 EXIT       | UNIONBANK       | ₹    161.94 | Below 40W EMA
2026-05-16 02:19:08 | INFO | 🟡 WAIT       | PAYTM           | ₹   1131.20 | EMAs converging, no breakout yet
2026-05-16 02:19:10 | INFO | 🔴 EXIT       | NAUKRI          | ₹    928.10 | Below 40W EMA
2026-05-16 02:19:13 | INFO | 🟢 HOLD_ADD   | JINDALSTEL      | ₹   1232.00 | Above all weekly EMAs
2026-05-16 02:19:15 | INFO | 🟢 HOLD_ADD   | CGPOWER         | ₹    838.20 | Above all weekly EMAs
2026-05-16 02:19:17 | INFO | 🔴 EXIT       | IIFL            | ₹    464.85 | Below 40W EMA
2026-05-16 02:19:20 | WARNING | PWL: Insufficient data for analysis
2026-05-16 02:19:22 | INFO | 🟡 WAIT       | CHOLAFIN        | ₹   1546.30 | EMAs converging, no breakout yet
2026-05-16 02:19:24 | INFO | 🟢 HOLD_ADD   | TORNTPHARM      | ₹   4405.70 | Above all weekly EMAs
2026-05-16 02:19:27 | INFO | 🟡 WAIT       | PIDILITIND      | ₹   1467.70 | EMAs converging, no breakout yet
2026-05-16 02:19:29 | INFO | 🔴 EXIT       | IRFC            | ₹     98.86 | Below 40W EMA
2026-05-16 02:19:31 | INFO | 🟢 HOLD_ADD   | RBLBANK         | ₹    338.10 | Above all weekly EMAs
2026-05-16 02:19:34 | INFO | 🔴 EXIT       | INDHOTEL        | ₹    656.25 | Below 40W EMA
2026-05-16 02:19:36 | INFO | 🟡 WAIT       | INDUSINDBK      | ₹    886.40 | EMAs converging, no breakout yet
2026-05-16 02:19:38 | INFO | 🟢 HOLD_ADD   | GVT&D           | ₹   4342.60 | Above all weekly EMAs
2026-05-16 02:19:41 | INFO | 🔴 EXIT       | HYUNDAI         | ₹   1825.20 | Below 40W EMA
2026-05-16 02:19:43 | INFO | 🟢 HOLD_ADD   | WELCORP         | ₹   1309.00 | Above all weekly EMAs
2026-05-16 02:19:46 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    433.75 | Below 40W EMA
2026-05-16 02:19:48 | INFO | 🟢 HOLD_ADD   | MARICO          | ₹    841.15 | Above all weekly EMAs
2026-05-16 02:19:50 | INFO | 🟠 CAUTIOUS   | BANKINDIA       | ₹    142.26 | Below 20W EMA
2026-05-16 02:19:53 | INFO | 🟢 HOLD_ADD   | IFCI            | ₹     63.29 | Above all weekly EMAs
2026-05-16 02:19:55 | INFO | 🟢 HOLD_ADD   | MANAPPURAM      | ₹    307.45 | Above all weekly EMAs
2026-05-16 02:19:57 | WARNING | CPPLUS: Insufficient data for analysis
2026-05-16 02:19:59 | INFO | 🟡 WAIT       | HDFCAMC         | ₹   2703.50 | EMAs converging, no breakout yet
2026-05-16 02:20:02 | INFO | 🔴 EXIT       | TATAELXSI       | ₹   4125.60 | Below 40W EMA
2026-05-16 02:20:04 | WARNING | JAINREC: Insufficient data for analysis
2026-05-16 02:20:06 | INFO | 🟡 WAIT       | GAIL            | ₹    162.13 | EMAs converging, no breakout yet
2026-05-16 02:20:09 | INFO | 🔴 EXIT       | LICI            | ₹    799.15 | Below 40W EMA
2026-05-16 02:20:11 | INFO | 🔴 EXIT       | BDL             | ₹   1325.40 | Below 40W EMA
2026-05-16 02:20:13 | WARNING | LGEINDIA: Insufficient data for analysis
2026-05-16 02:20:16 | INFO | 🟡 WAIT       | RECLTD          | ₹    345.85 | EMAs converging, no breakout yet
2026-05-16 02:20:18 | INFO | 🔴 EXIT       | REDINGTON       | ₹    221.29 | Below 40W EMA
2026-05-16 02:20:20 | INFO | 🟡 WAIT       | ENDURANCE       | ₹   2548.50 | EMAs converging, no breakout yet
2026-05-16 02:20:23 | INFO | 🟢 HOLD_ADD   | AUROPHARMA      | ₹   1511.80 | Above all weekly EMAs
