2026-08-08 01:07:08 | INFO | 🟡 WAIT       | CAMS            | ₹    787.50 | EMAs converging, no breakout yet
2026-08-08 01:07:10 | INFO | 🟡 WAIT       | CONCORDBIO      | ₹   1365.00 | EMAs converging, no breakout yet
2026-08-08 01:07:12 | INFO | 🟡 WAIT       | CONCOR          | ₹    505.20 | EMAs converging, no breakout yet
2026-08-08 01:07:14 | INFO | 🟡 WAIT       | COROMANDEL      | ₹   2069.30 | EMAs converging, no breakout yet
2026-08-08 01:07:17 | INFO | 🟢 HOLD_ADD   | CRAFTSMAN       | ₹  10483.00 | Above all weekly EMAs
2026-08-08 01:07:19 | INFO | 🟢 HOLD_ADD   | CREDITACC       | ₹   1523.60 | Above all weekly EMAs
2026-08-08 01:07:21 | INFO | 🔴 EXIT       | CROMPTON        | ₹    249.95 | Below 40W EMA
2026-08-08 01:07:23 | INFO | 🟣 FADING     | CUMMINSIND      | ₹   5426.00 | Below 10W EMA - momentum fading
2026-08-08 01:07:25 | INFO | 🔴 EXIT       | CYIENT          | ₹    857.50 | Below 40W EMA
2026-08-08 01:07:27 | INFO | 🔴 EXIT       | DCMSHRIRAM      | ₹   1016.80 | Below 40W EMA
2026-08-08 01:07:29 | INFO | 🟡 WAIT       | DLF             | ₹    642.00 | EMAs converging, no breakout yet
2026-08-08 01:07:32 | INFO | 🔴 EXIT       | DOMS            | ₹   2260.60 | Below 40W EMA
2026-08-08 01:07:34 | INFO | 🔴 EXIT       | DABUR           | ₹    410.00 | Below 40W EMA
2026-08-08 01:07:36 | INFO | 🔴 EXIT       | DALBHARAT       | ₹   1827.40 | Below 40W EMA
2026-08-08 01:07:38 | INFO | 🟢 HOLD_ADD   | DATAPATTNS      | ₹   4380.70 | Above all weekly EMAs
2026-08-08 01:07:40 | INFO | 🟢 HOLD_ADD   | DEEPAKFERT      | ₹   1537.80 | Above all weekly EMAs
2026-08-08 01:07:42 | INFO | 🟡 WAIT       | DEEPAKNTR       | ₹   1796.50 | EMAs converging, no breakout yet
2026-08-08 01:07:44 | INFO | 🟣 FADING     | DELHIVERY       | ₹    473.30 | Below 10W EMA - momentum fading
2026-08-08 01:07:46 | INFO | 🟢 HOLD_ADD   | DEVYANI         | ₹    134.73 | Above all weekly EMAs
2026-08-08 01:07:49 | INFO | 🟢 HOLD_ADD   | DIVISLAB        | ₹   8275.00 | Above all weekly EMAs
2026-08-08 01:07:51 | INFO | 🟢 HOLD_ADD   | DIXON           | ₹  14200.00 | Above all weekly EMAs
2026-08-08 01:07:53 | INFO | 🟢 HOLD_ADD   | LALPATHLAB      | ₹   1931.60 | Above all weekly EMAs
2026-08-08 01:07:55 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1172.00 | EMAs converging, no breakout yet
2026-08-08 01:07:57 | INFO | 🔴 EXIT       | EIDPARRY        | ₹    805.10 | Below 40W EMA
2026-08-08 01:07:59 | INFO | 🔴 EXIT       | EIHOTEL         | ₹    306.55 | Below 40W EMA
2026-08-08 01:08:02 | INFO | 🟢 HOLD_ADD   | EICHERMOT       | ₹   8020.00 | Above all weekly EMAs
2026-08-08 01:08:04 | INFO | 🟡 WAIT       | ELECON          | ₹    437.85 | EMAs converging, no breakout yet
2026-08-08 01:08:06 | INFO | 🟢 HOLD_ADD   | ELGIEQUIP       | ₹    588.45 | Above all weekly EMAs
2026-08-08 01:08:08 | INFO | 🔴 EXIT       | EMAMILTD        | ₹    412.55 | Below 40W EMA
2026-08-08 01:08:10 | INFO | 🟢 HOLD_ADD   | EMCURE          | ₹   1978.40 | Above all weekly EMAs
2026-08-08 01:08:12 | WARNING | EMMVEE: Insufficient data for analysis
2026-08-08 01:08:15 | INFO | 🟢 HOLD_ADD   | ENDURANCE       | ₹   2904.50 | Above all weekly EMAs
2026-08-08 01:08:17 | INFO | 🟢 HOLD_ADD   | ENGINERSIN      | ₹    240.60 | Above all weekly EMAs
2026-08-08 01:08:19 | INFO | 🟡 WAIT       | ERIS            | ₹   1382.40 | EMAs converging, no breakout yet
2026-08-08 01:08:21 | INFO | 🔴 EXIT       | ESCORTS         | ₹   3080.00 | Below 40W EMA
2026-08-08 01:08:23 | INFO | 🟢 HOLD_ADD   | ETERNAL         | ₹    315.00 | Above all weekly EMAs
2026-08-08 01:08:25 | INFO | 🟢 HOLD_ADD   | EXIDEIND        | ₹    490.00 | Above all weekly EMAs
2026-08-08 01:08:27 | INFO | 🟢 HOLD_ADD   | NYKAA           | ₹    332.00 | Above all weekly EMAs
2026-08-08 01:08:30 | INFO | 🟢 HOLD_ADD   | FEDERALBNK      | ₹    356.25 | Above all weekly EMAs
2026-08-08 01:08:32 | INFO | 🟡 WAIT       | FACT            | ₹    839.40 | EMAs converging, no breakout yet
2026-08-08 01:08:34 | INFO | 🟣 FADING     | FINCABLES       | ₹   1024.65 | Below 10W EMA - momentum fading
2026-08-08 01:08:36 | INFO | 🟢 HOLD_ADD   | FSL             | ₹    279.85 | Above all weekly EMAs
2026-08-08 01:08:38 | INFO | 🟢 HOLD_ADD   | FIVESTAR        | ₹    543.25 | Above all weekly EMAs
2026-08-08 01:08:40 | INFO | 🟡 WAIT       | FORCEMOT        | ₹  18500.00 | EMAs converging, no breakout yet
2026-08-08 01:08:42 | INFO | 🟢 HOLD_ADD   | FORTIS          | ₹    955.15 | Above all weekly EMAs
2026-08-08 01:08:45 | INFO | 🟡 WAIT       | GAIL            | ₹    173.63 | EMAs converging, no breakout yet
2026-08-08 01:08:47 | INFO | 🟠 CAUTIOUS   | GVT&D           | ₹   4299.00 | Below 20W EMA
2026-08-08 01:08:49 | INFO | 🟢 HOLD_ADD   | GMRAIRPORT      | ₹    107.20 | Above all weekly EMAs
2026-08-08 01:08:51 | INFO | 🟢 HOLD_ADD   | GABRIEL         | ₹   1499.80 | Above all weekly EMAs
2026-08-08 01:08:53 | INFO | 🔴 EXIT       | GALLANTT        | ₹    605.50 | Below 40W EMA
2026-08-08 01:08:55 | INFO | 🟡 WAIT       | GRSE            | ₹   2599.00 | EMAs converging, no breakout yet
2026-08-08 01:08:57 | INFO | 🟡 WAIT       | GICRE           | ₹    357.20 | EMAs converging, no breakout yet
2026-08-08 01:09:00 | INFO | 🔴 EXIT       | GILLETTE        | ₹   7683.50 | Below 40W EMA
2026-08-08 01:09:02 | INFO | 🟢 HOLD_ADD   | GLAND           | ₹   2601.00 | Above all weekly EMAs
2026-08-08 01:09:04 | INFO | 🟡 WAIT       | GLAXO           | ₹   2599.70 | EMAs converging, no breakout yet
2026-08-08 01:09:06 | INFO | 🟢 HOLD_ADD   | GLENMARK        | ₹   2279.10 | Above all weekly EMAs
2026-08-08 01:09:08 | INFO | 🟢 HOLD_ADD   | MEDANTA         | ₹   1455.60 | Above all weekly EMAs
2026-08-08 01:09:10 | INFO | 🔴 EXIT       | GODIGIT         | ₹    272.25 | Below 40W EMA
2026-08-08 01:09:12 | INFO | 🟡 WAIT       | GPIL            | ₹    240.61 | EMAs converging, no breakout yet
2026-08-08 01:09:15 | INFO | 🔴 EXIT       | GODFRYPHLP      | ₹   2286.00 | Below 40W EMA
2026-08-08 01:09:17 | INFO | 🔴 EXIT       | GODREJCP        | ₹   1050.00 | Below 40W EMA
2026-08-08 01:09:19 | INFO | 🟢 HOLD_ADD   | GODREJIND       | ₹   1311.50 | Above all weekly EMAs
2026-08-08 01:09:21 | INFO | 🟢 HOLD_ADD   | GODREJPROP      | ₹   2070.00 | Above all weekly EMAs
2026-08-08 01:09:23 | INFO | 🟢 HOLD_ADD   | GRANULES        | ₹    873.85 | Above all weekly EMAs
2026-08-08 01:09:26 | INFO | 🟢 HOLD_ADD   | GRAPHITE        | ₹    709.95 | Above all weekly EMAs
2026-08-08 01:09:28 | INFO | 🟢 HOLD_ADD   | GRASIM          | ₹   3323.00 | Above all weekly EMAs
2026-08-08 01:09:30 | INFO | 🟡 WAIT       | GRAVITA         | ₹   1732.10 | EMAs converging, no breakout yet
2026-08-08 01:09:32 | INFO | 🟠 CAUTIOUS   | GESHIP          | ₹   1341.80 | Below 20W EMA
2026-08-08 01:09:34 | INFO | 🟢 HOLD_ADD   | FLUOROCHEM      | ₹   4518.10 | Above all weekly EMAs
2026-08-08 01:09:36 | INFO | 🟠 CAUTIOUS   | GMDCLTD         | ₹    582.80 | Below 20W EMA
2026-08-08 01:09:38 | INFO | 🟢 HOLD_ADD   | HEG             | ₹    674.00 | Above all weekly EMAs
2026-08-08 01:09:41 | INFO | 🟡 WAIT       | HBLENGINE       | ₹    727.10 | EMAs converging, no breakout yet
2026-08-08 01:09:43 | INFO | 🟢 HOLD_ADD   | HCLTECH         | ₹   1356.60 | Above all weekly EMAs
2026-08-08 01:09:45 | INFO | 🟡 WAIT       | HDBFS           | ₹    665.65 | EMAs converging, no breakout yet
2026-08-08 01:09:47 | INFO | 🟡 WAIT       | HDFCAMC         | ₹   2545.00 | EMAs converging, no breakout yet
2026-08-08 01:09:49 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    731.00 | Below 40W EMA
2026-08-08 01:09:51 | INFO | 🔴 EXIT       | HDFCLIFE        | ₹    540.00 | Below 40W EMA
2026-08-08 01:09:54 | INFO | 🟢 HOLD_ADD   | HFCL            | ₹    207.98 | Above all weekly EMAs
2026-08-08 01:09:56 | INFO | 🔴 EXIT       | HAVELLS         | ₹   1288.00 | Below 40W EMA
2026-08-08 01:09:58 | INFO | ✅ BULLISH    | HEROMOTOCO      | ₹   5725.00 | Resistance breakout with EMAs converging
2026-08-08 01:10:00 | INFO | 🔴 EXIT       | HEXT            | ₹    564.60 | Below 40W EMA
2026-08-08 01:10:02 | INFO | 🟢 HOLD_ADD   | HSCL            | ₹    752.65 | Above all weekly EMAs
2026-08-08 01:10:04 | INFO | 🟢 HOLD_ADD   | HINDALCO        | ₹   1059.60 | Above all weekly EMAs
