2026-06-06 02:34:44 | INFO | 🟢 HOLD_ADD   | CRAFTSMAN       | ₹   9065.00 | Above all weekly EMAs
2026-06-06 02:34:46 | INFO | 🟡 WAIT       | CREDITACC       | ₹   1264.00 | EMAs converging, no breakout yet
2026-06-06 02:34:48 | INFO | 🔴 EXIT       | CROMPTON        | ₹    266.60 | Below 40W EMA
2026-06-06 02:34:50 | INFO | 🟢 HOLD_ADD   | CUMMINSIND      | ₹   5784.00 | Above all weekly EMAs
2026-06-06 02:34:52 | INFO | 🔴 EXIT       | CYIENT          | ₹    877.20 | Below 40W EMA
2026-06-06 02:34:54 | INFO | 🟡 WAIT       | DCMSHRIRAM      | ₹   1027.90 | EMAs converging, no breakout yet
2026-06-06 02:34:56 | INFO | 🔴 EXIT       | DLF             | ₹    577.70 | Below 40W EMA
2026-06-06 02:34:59 | INFO | 🔴 EXIT       | DOMS            | ₹   2093.10 | Below 40W EMA
2026-06-06 02:35:01 | INFO | 🔴 EXIT       | DABUR           | ₹    424.15 | Below 40W EMA
2026-06-06 02:35:03 | INFO | 🔴 EXIT       | DALBHARAT       | ₹   1688.60 | Below 40W EMA
2026-06-06 02:35:05 | INFO | 🟢 HOLD_ADD   | DATAPATTNS      | ₹   4212.60 | Above all weekly EMAs
2026-06-06 02:35:07 | INFO | 🟢 HOLD_ADD   | DEEPAKFERT      | ₹   1425.80 | Above all weekly EMAs
2026-06-06 02:35:09 | INFO | 🟡 WAIT       | DEEPAKNTR       | ₹   1680.10 | EMAs converging, no breakout yet
2026-06-06 02:35:11 | INFO | 🟣 FADING     | DELHIVERY       | ₹    445.25 | Below 10W EMA - momentum fading
2026-06-06 02:35:14 | INFO | 🔴 EXIT       | DEVYANI         | ₹    113.13 | Below 40W EMA
2026-06-06 02:35:16 | INFO | 🟢 HOLD_ADD   | DIVISLAB        | ₹   6623.00 | Above all weekly EMAs
2026-06-06 02:35:18 | INFO | 🔴 EXIT       | DIXON           | ₹  11432.00 | Below 40W EMA
2026-06-06 02:35:20 | INFO | 🟢 HOLD_ADD   | LALPATHLAB      | ₹   1536.90 | Above all weekly EMAs
2026-06-06 02:35:22 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1278.20 | EMAs converging, no breakout yet
2026-06-06 02:35:23 | ERROR | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: DUMMYVEDL1.NS"}}}
2026-06-06 02:35:23 | ERROR | $DUMMYVEDL1.NS: possibly delisted; no timezone found
2026-06-06 02:35:25 | WARNING | No data returned for DUMMYVEDL1
2026-06-06 02:35:25 | ERROR | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: DUMMYVEDL2.NS"}}}
2026-06-06 02:35:25 | ERROR | $DUMMYVEDL2.NS: possibly delisted; no timezone found
2026-06-06 02:35:27 | WARNING | No data returned for DUMMYVEDL2
2026-06-06 02:35:27 | ERROR | $DUMMYVEDL3.NS: possibly delisted; no timezone found
2026-06-06 02:35:29 | WARNING | No data returned for DUMMYVEDL3
2026-06-06 02:35:29 | ERROR | $DUMMYVEDL4.NS: possibly delisted; no timezone found
2026-06-06 02:35:31 | WARNING | No data returned for DUMMYVEDL4
2026-06-06 02:35:34 | INFO | 🔴 EXIT       | EIDPARRY        | ₹    735.20 | Below 40W EMA
2026-06-06 02:35:36 | INFO | 🔴 EXIT       | EIHOTEL         | ₹    291.95 | Below 40W EMA
2026-06-06 02:35:38 | INFO | 🟡 WAIT       | EICHERMOT       | ₹   7070.00 | EMAs converging, no breakout yet
2026-06-06 02:35:40 | INFO | 🟢 HOLD_ADD   | ELECON          | ₹    531.35 | Above all weekly EMAs
2026-06-06 02:35:42 | INFO | 🟢 HOLD_ADD   | ELGIEQUIP       | ₹    610.30 | Above all weekly EMAs
2026-06-06 02:35:44 | INFO | 🔴 EXIT       | EMAMILTD        | ₹    384.80 | Below 40W EMA
2026-06-06 02:35:46 | INFO | 🟢 HOLD_ADD   | EMCURE          | ₹   1756.80 | Above all weekly EMAs
2026-06-06 02:35:49 | WARNING | EMMVEE: Insufficient data for analysis
