2026-03-21 01:24:21 | INFO | 🟠 CAUTIOUS   | BANKINDIA       | ₹    150.49 | Below 20W EMA
2026-03-21 01:24:23 | INFO | 🟡 WAIT       | YESBANK         | ₹     18.58 | EMAs converging, no breakout yet
2026-03-21 01:24:26 | INFO | 🔴 EXIT       | HDFCAMC         | ₹   2385.90 | Broke support with EMAs converging
2026-03-21 01:24:28 | INFO | 🔴 EXIT       | LLOYDSME        | ₹   1245.80 | Below 40W EMA
2026-03-21 01:24:30 | INFO | 🔴 EXIT       | IDFCFIRSTB      | ₹     62.95 | Below 40W EMA
2026-03-21 01:24:32 | INFO | 🔴 EXIT       | MPHASIS         | ₹   2091.10 | Below 40W EMA
2026-03-21 01:24:34 | INFO | 🟢 HOLD_ADD   | AUROPHARMA      | ₹   1291.40 | Above all weekly EMAs
2026-03-21 01:24:36 | INFO | 🔴 EXIT       | ALKEM           | ₹   5257.50 | Broke support with EMAs converging
2026-03-21 01:24:38 | INFO | 🟠 CAUTIOUS   | MFSL            | ₹   1639.30 | Below 20W EMA
2026-03-21 01:24:40 | INFO | 🔴 EXIT       | SRF             | ₹   2454.50 | Below 40W EMA
2026-03-21 01:24:43 | INFO | 🟠 CAUTIOUS   | LTF             | ₹    261.20 | Below 20W EMA
2026-03-21 01:24:45 | INFO | 🔴 EXIT       | MRF             | ₹ 127535.00 | Broke support with EMAs converging
2026-03-21 01:24:47 | INFO | 🟢 HOLD_ADD   | BHARATFORG      | ₹   1711.50 | Above all weekly EMAs
2026-03-21 01:24:49 | INFO | 🔴 EXIT       | PHOENIXLTD      | ₹   1543.10 | Broke support with EMAs converging
2026-03-21 01:24:51 | INFO | 🔴 EXIT       | NHPC            | ₹     76.80 | Below 40W EMA
2026-03-21 01:24:53 | INFO | 🔴 EXIT       | GODREJPROP      | ₹   1549.50 | Below 40W EMA
2026-03-21 01:24:55 | INFO | 🔴 EXIT       | PIIND           | ₹   2909.50 | Below 40W EMA
2026-03-21 01:24:57 | INFO | 🔴 EXIT       | IREDA           | ₹    116.37 | Below 40W EMA
