2026-02-21 16:57:18 | INFO | 🟢 HOLD_ADD   | FEDERALBNK      | ₹    292.60 | Above all weekly EMAs
2026-02-21 16:57:20 | INFO | 🔴 EXIT       | JUBLFOOD        | ₹    532.40 | Below 40W EMA
2026-02-21 16:57:22 | INFO | 🟢 HOLD_ADD   | NLCINDIA        | ₹    264.95 | Above all weekly EMAs
2026-02-21 16:57:24 | INFO | 🟢 HOLD_ADD   | GLENMARK        | ₹   2043.20 | Above all weekly EMAs
2026-02-21 16:57:27 | INFO | 🟢 HOLD_ADD   | AUBANK          | ₹   1029.65 | Above all weekly EMAs
2026-02-21 16:57:29 | INFO | 🟡 WAIT       | ENDURANCE       | ₹   2465.20 | EMAs converging, no breakout yet
2026-02-21 16:57:31 | INFO | 🟡 WAIT       | ALKEM           | ₹   5392.00 | EMAs converging, no breakout yet
2026-02-21 16:57:33 | INFO | 🔴 EXIT       | OBEROIRLTY      | ₹   1523.20 | Below 40W EMA
2026-02-21 16:57:35 | INFO | 🔴 EXIT       | PIIND           | ₹   3048.00 | Below 40W EMA
2026-02-21 16:57:37 | INFO | 🟢 HOLD_ADD   | BANKINDIA       | ₹    171.70 | Above all weekly EMAs
2026-02-21 16:57:39 | INFO | 🔴 EXIT       | CRISIL          | ₹   4567.00 | Below 40W EMA
2026-02-21 16:57:41 | INFO | 🟢 HOLD_ADD   | FORTIS          | ₹    921.00 | Above all weekly EMAs
2026-02-21 16:57:43 | INFO | 🔴 EXIT       | COLPAL          | ₹   2197.90 | Below 40W EMA
2026-02-21 16:57:46 | INFO | 🟢 HOLD_ADD   | MAHABANK        | ₹     68.79 | Above all weekly EMAs
2026-02-21 16:57:48 | INFO | 🟢 HOLD_ADD   | MFSL            | ₹   1849.30 | Above all weekly EMAs
2026-02-21 16:57:50 | INFO | 🟢 HOLD_ADD   | NMDC            | ₹     80.13 | Above all weekly EMAs
2026-02-21 16:57:52 | INFO | 🟡 WAIT       | WAAREEENER      | ₹   2897.60 | EMAs converging, no breakout yet
2026-02-21 16:57:55 | INFO | 🟢 HOLD_ADD   | MARICO          | ₹    788.20 | Above all weekly EMAs
2026-02-21 16:57:57 | INFO | 🟢 HOLD_ADD   | LTF             | ₹    297.75 | Above all weekly EMAs
2026-02-21 16:57:59 | INFO | 🔴 EXIT       | LICHSGFIN       | ₹    524.55 | Below 40W EMA
2026-02-21 16:58:01 | INFO | 🔴 EXIT       | GODREJIND       | ₹   1034.35 | Below 40W EMA
2026-02-21 16:58:03 | INFO | 🔴 EXIT       | GLAXO           | ₹   2596.90 | Below 40W EMA
2026-02-21 16:58:05 | INFO | 🟡 WAIT       | SONACOMS        | ₹    532.10 | EMAs converging, no breakout yet
2026-02-21 16:58:07 | INFO | 🟣 FADING     | HEROMOTOCO      | ₹   5465.00 | Below 10W EMA - momentum fading
2026-02-21 16:58:09 | INFO | 🟡 WAIT       | SCHAEFFLER      | ₹   3888.90 | EMAs converging, no breakout yet
2026-02-21 16:58:11 | INFO | 🔴 EXIT       | TATATECH        | ₹    607.70 | Below 40W EMA
2026-02-21 16:58:14 | INFO | 🟡 WAIT       | BHARTIHEXA      | ₹   1688.10 | EMAs converging, no breakout yet
2026-02-21 16:58:16 | INFO | 🔴 EXIT       | IOB             | ₹     36.21 | Below 40W EMA
2026-02-21 16:58:18 | INFO | 🟢 HOLD_ADD   | POLYCAB         | ₹   7869.00 | Above all weekly EMAs
2026-02-21 16:58:20 | INFO | ✅ BULLISH    | ASTRAL          | ₹   1636.60 | Resistance breakout with EMAs converging
2026-02-21 16:58:22 | INFO | 🔴 EXIT       | IREDA           | ₹    126.65 | Below 40W EMA
2026-02-21 16:58:24 | INFO | 🔴 EXIT       | PAGEIND         | ₹  32740.00 | Below 40W EMA
2026-02-21 16:58:26 | INFO | 🔴 EXIT       | UCOBANK         | ₹     28.93 | Below 40W EMA
2026-02-21 16:58:29 | INFO | 🟡 WAIT       | MRF             | ₹ 146390.00 | EMAs converging, no breakout yet
2026-02-21 16:58:31 | INFO | 🟢 HOLD_ADD   | SUPREMEIND      | ₹   3918.30 | Above all weekly EMAs
2026-02-21 16:58:33 | INFO | 🟢 HOLD_ADD   | GMRAIRPORT      | ₹     99.75 | Above all weekly EMAs
2026-02-21 16:58:35 | INFO | 🔴 EXIT       | EXIDEIND        | ₹    336.45 | Below 40W EMA
2026-02-21 16:58:37 | INFO | 🟡 WAIT       | SRF             | ₹   2689.10 | EMAs converging, no breakout yet
2026-02-21 16:58:39 | INFO | 🟡 WAIT       | ICICIPRULI      | ₹    651.30 | EMAs converging, no breakout yet
2026-02-21 16:58:41 | INFO | 🔴 EXIT       | FLUOROCHEM      | ₹   3425.70 | Below 40W EMA
2026-02-21 16:58:43 | INFO | 🟡 WAIT       | BIOCON          | ₹    383.95 | EMAs converging, no breakout yet
2026-02-21 16:58:45 | INFO | 🟢 HOLD_ADD   | IDFCFIRSTB      | ₹     83.51 | Above all weekly EMAs
2026-02-21 16:58:47 | INFO | 🟡 WAIT       | YESBANK         | ₹     21.04 | EMAs converging, no breakout yet
2026-02-21 16:58:50 | INFO | 🔴 EXIT       | HUDCO           | ₹    195.44 | Below 40W EMA
2026-02-21 16:58:52 | INFO | 🟠 CAUTIOUS   | UNOMINDA        | ₹   1195.20 | Below 20W EMA
2026-02-21 16:58:54 | INFO | 🟠 CAUTIOUS   | PAYTM           | ₹   1153.30 | Below 20W EMA
2026-02-21 16:58:56 | INFO | 🟢 HOLD_ADD   | NATIONALUM      | ₹    341.20 | Above all weekly EMAs
2026-02-21 16:58:59 | INFO | 🔴 EXIT       | IGL             | ₹    168.20 | Below 40W EMA
2026-02-21 16:59:01 | INFO | 🔴 EXIT       | NHPC            | ₹     74.47 | Below 40W EMA
2026-02-21 16:59:03 | INFO | 🟢 HOLD_ADD   | SUNDARMFIN      | ₹   5178.00 | Above all weekly EMAs
2026-02-21 16:59:05 | INFO | 🔴 EXIT       | MOTILALOFS      | ₹    769.25 | Below 40W EMA
2026-02-21 16:59:08 | INFO | 🟡 WAIT       | GICRE           | ₹    380.80 | EMAs converging, no breakout yet
2026-02-21 16:59:10 | INFO | 🟡 WAIT       | BLUESTARCO      | ₹   1968.40 | EMAs converging, no breakout yet
2026-02-21 16:59:12 | INFO | 🔴 EXIT       | TATAELXSI       | ₹   4859.00 | Below 40W EMA
2026-02-21 16:59:14 | INFO | 🟣 FADING     | BSE             | ₹   2739.50 | Below 10W EMA - momentum fading
2026-02-21 16:59:16 | INFO | 🔴 EXIT       | PGHH            | ₹  11501.00 | Below 40W EMA
2026-02-21 16:59:19 | INFO | 🟡 WAIT       | DALBHARAT       | ₹   2070.00 | EMAs converging, no breakout yet
2026-02-21 16:59:21 | INFO | 🔴 EXIT       | UBL             | ₹   1602.60 | Below 40W EMA
2026-02-21 16:59:23 | INFO | 🟢 HOLD_ADD   | INDUSTOWER      | ₹    474.35 | Above all weekly EMAs
2026-02-21 16:59:25 | INFO | 🟢 HOLD_ADD   | LUPIN           | ₹   2219.40 | Above all weekly EMAs
2026-02-21 16:59:27 | INFO | 🔴 EXIT       | BERGEPAINT      | ₹    455.45 | Below 40W EMA
2026-02-21 16:59:29 | INFO | 🔴 EXIT       | PATANJALI       | ₹    534.40 | Below 40W EMA
2026-02-21 16:59:32 | INFO | ✅ BULLISH    | LINDEINDIA      | ₹   6794.00 | Resistance breakout with EMAs converging
2026-02-21 16:59:34 | INFO | 🔴 EXIT       | NTPCGREEN       | ₹     90.29 | Below 40W EMA
2026-02-21 16:59:36 | INFO | 🔴 EXIT       | ATGL            | ₹    519.20 | Below 40W EMA
2026-02-21 16:59:38 | INFO | 🔴 EXIT       | JSWINFRA        | ₹    253.00 | Below 40W EMA
2026-02-21 16:59:40 | INFO | 🔴 EXIT       | OFSS            | ₹   6642.50 | Below 40W EMA
2026-02-21 16:59:42 | INFO | 🟢 HOLD_ADD   | INDUSINDBK      | ₹    926.05 | Above all weekly EMAs
2026-02-21 16:59:44 | INFO | 🔴 EXIT       | FACT            | ₹    781.05 | Below 40W EMA
2026-02-21 16:59:46 | INFO | 🔴 EXIT       | ABBOTINDIA      | ₹  26295.00 | Below 40W EMA
2026-02-21 16:59:48 | INFO | 🟡 WAIT       | PRESTIGE        | ₹   1487.00 | EMAs converging, no breakout yet
2026-02-21 16:59:51 | INFO | 🟢 HOLD_ADD   | ABCAPITAL       | ₹    344.85 | Above all weekly EMAs
2026-02-21 16:59:53 | INFO | 🔴 EXIT       | ITCHOTELS       | ₹    176.68 | Below 40W EMA
2026-02-21 16:59:55 | INFO | 🔴 EXIT       | CONCOR          | ₹    503.00 | Below 40W EMA
2026-02-21 16:59:57 | INFO | 🔴 EXIT       | COCHINSHIP      | ₹   1517.60 | Below 40W EMA
